,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
PGBD2,
PGBD2,PGBD2
,
Y_RNA,Y_RNA
,
TCEANC2,TCEANC2
MEX3A,MEX3A
U6,U6
U1,U1
RAB25,RAB25
U6,U6
U1,U1
Metazoa_SRP,Metazoa_SRP
,
,
,
LAMC1,LAMC1
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
ACTRT3,ACTRT3
U6,U6
AK4,AK4
Metazoa_SRP,Metazoa_SRP
,SLC39A1
Metazoa_SRP,Metazoa_SRP
GJA8,GJA8
U6,U6
U6,U6
,
MIR30C1,mml-mir-30c-1
,
KLF17,KLF17
,
U8,U8
Metazoa_SRP,Metazoa_SRP
,
CTTNBP2NL,CTTNBP2NL
NEXN,NEXN
ABHD10,ABHD10
PPP2R3A,PPP2R3A
,
MIR101-1,mml-mir-101-1
ZNF692,ZNF692
Metazoa_SRP,Metazoa_SRP
,
RCC2,RCC2
,
U6,U6
MYNN,MYNN
,
GJA5,GJA5
,
U6,U6
Metazoa_SRP,
WARS2,WARS2
,
,
,
IL24,IL24
,
,
,
Metazoa_SRP,Metazoa_SRP
,
C1orf174,C1H1orf174
,
MIR30E,mml-mir-30e
PLCL2,PLCL2
,
CRTC2,CRTC2
SLC5A9,SLC5A9
,
,
BLZF1,BLZF1
,
SH2D1B,SH2D1B
,
,
,
TMEM59,TMEM59
,
Metazoa_SRP,Metazoa_SRP
,
,
DFFB,DFFB
Metazoa_SRP,Metazoa_SRP
,
,
LAMTOR2,LAMTOR2
,
TXNRD3,TXNRD3
TBX15,TBX15
,
OSBPL10,OSBPL10
SH3BP5L,SH3BP5L
CFAP45,CFAP45
,
,
U6,U6
,
,
ARHGEF26,ARHGEF26
,
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
DENND4B,DENND4B
,
DAZL,DAZL
,NOS1AP
,MRPS14
Metazoa_SRP,
,
FCMR,FCMR
PADI6,PADI6
,
MSL2,MSL2
CCDC181,CCDC181
,
,
FANCD2,FANCD2
Y_RNA,Y_RNA
,
JAK1,JAK1
,
Metazoa_SRP,
,
,
LAMC2,LAMC2
,
,
LRRC34,LRRC34
,
SPAG17,SPAG17
Metazoa_SRP,Metazoa_SRP
,
,
,
U1,U1
,
,
,
,
GATAD2B,GATAD2B
LDLRAD1,LDLRAD1
RFTN1,RFTN1
,
ACP6,ACP6
VSIG8,VSIG8
SLC19A2,SLC19A2
WDR3,WDR3
PIGR,PIGR
TRABD2B,TRABD2B
TNN,TNN
U6,U6
,
SLC6A9,SLC6A9
,
KCND3,KCND3
FANCD2OS,FANCD2OS
MIGA1,MIGA1
,
SSR2,SSR2
RAVER2,RAVER2
SPATA46,SPATA46
LYPD8,LYPD8
PADI4,PADI4
,
,
DHX36,DHX36
BRK1,BRK1
,
,
LRRIQ4,LRRIQ4
FCAMR,FCAMR
SRP9,SRP9
Y_RNA,Y_RNA
,
Metazoa_SRP,
,
EFCAB2,EFCAB2
GDAP2,GDAP2
MIR556,MIR556
,
,
DDX20,DDX20
BCL9,BCL9
C3orf22,C2H3orf22
,
